Title;Language;Genre;Runtime;IMDB Score
To All the Boys: P.S. I Still Love You;English;Romantic comedy;102;6
War Machine;English;War-Comedy;122;6
6 Underground;English;Action;128;6.1
Between Two Ferns: The Movie;English;Comedy;82;6.1
Burning Sands;English;Drama;102;6.1
Casting JonBenet;English;Documentary;80;6.1
Deidra & Laney Rob a Train;English;Drama;94;6.1
Finding 'Ohana;English;Family;123;6.1
Holidate;English;Romantic comedy/Holiday;104;6.1
Holiday in the Wild;English;Adventure-romance;85;6.1
Hot Girls Wanted;English;Documentary;84;6.1
Like Father;English;Comedy;103;6.1
Lost Girls;English;Crime drama;95;6.1
Otherhood;English;Comedy;100;6.1
Pee-wee's Big Holiday;English;Adventure;89;6.1
Rogue City;French;Crime drama;116;6.1
Sergio;English;Biopic;118;6.1
Stuck Apart;Turkish;Drama;96;6.1
Tersanjung the Movie;Indonesian;Drama;114;6.1
The Killer;Portuguese;Western;99;6.1
The Lovebirds;English;Romantic comedy;87;6.1
The Most Hated Woman in America;English;Biopic;92;6.1
The Perfection;English;Horror-thriller;90;6.1
Tribhanga – Tedhi Medhi Crazy;Hindi;Drama;95;6.1
Unknown Origins;Spanish;Thriller;96;6.1
Work It;English;Dance comedy;93;6.1
Alien Xmas;English;Stop Motion;42;6.2
Baggio: The Divine Ponytail;Italian;Biopic;92;6.2
Below Zero;Spanish;Drama;106;6.2
Citation;English;Drama;151;6.2
Crazy Awesome Teachers;Indonesian;Comedy-drama;101;6.2
Have You Ever Seen Fireflies?;Turkish;Comedy;114;6.2
High Flying Bird;English;Sports-drama;90;6.2
In the Shadow of the Moon;English;Thriller;115;6.2
Lost Bullet;French;Thriller;92;6.2
Octonauts & the Caves of Sac Actun;English;Animation;72;6.2
Offering to the Storm;Spanish;Thriller;139;6.2
Roxanne Roxanne;English;Biopic;98;6.2
Someone Great;English;Romantic comedy;92;6.2
Spenser Confidential;English;Action comedy;111;6.2
The Land of Steady Habits;English;Drama;98;6.2
The Rachel Divide;English;Documentary;104;6.2
Voyuer ;English;Documentary;95;6.2
Win It All;English;Comedy;88;6.2
1922;English;Horror/Crime drama;102;6.3
A Tale of Two Kitchens;English/Spanish;Documentary;30;6.3
Alex Strangelove;English;Romantic comedy;99;6.3
Apostle;English;Horror-thriller;129;6.3
Benji;English;Family film;87;6.3
Bright;English;Urban fantasy;117;6.3
Cargo;English;Drama/Horror;104;6.3
Concrete Cowboy;English;Drama;111;6.3
Feel the Beat;English;Family/Comedy-drama;107;6.3
Get the Goat;Portuguese;Comedy;97;6.3
I Am Not an Easy Man;French;Romantic comedy;98;6.3
June & Kopi;Indonesian;Drama;90;6.3
Music Teacher;Hindi;Drama;101;6.3
Nail Bomber: Manhunt;English;Documentary;72;6.3
Notes for My Son;Spanish;Drama;83;6.3
Polar;English;Action;118;6.3
Porta dos Fundos: The Last Hangover;Portuguese;Comedy;44;6.3
Sand Castle;English;War;113;6.3
Shimmer Lake;English;Crime thriller;86;6.3
Spectral;English;Science fiction/Action;108;6.3
The Babysitter;English;Teen comedy horror;85;6.3
The Discovery;English;Science fiction/Drama;102;6.3
The Forest of Love;Japanese;Drama;151;6.3
The Laundromat;English;Comedy-drama;98;6.3
The Legend of Cocaine Island;English;Documentary;87;6.3
The Outsider;English/Japanese;Crime drama;120;6.3
Time to Hunt;Korean;Thriller;134;6.3
To All the Boys: Always and Forever;English;Romantic comedy;109;6.3
Travis Scott: Look Mom I Can Fly;English;Documentary;85;6.3
Uncorked;English;Drama;103;6.3
Anelka: Misunderstood;French;Documentary;94;6.4
Ariana Grande: Excuse Me, I Love You;English;Concert Film;97;6.4
